COLOR,Nunmber,TEXT,WHO WROTE,CATEGORY
Yellow,1,"""Lifeguard Of The Year""",1988 Milton Bradley Company,Descriptive
Yellow,2,"Nicknamed ""Lips""",1988 Milton Bradley Company,Descriptive
Yellow,3,The Only Male Cheerleader,1988 Milton Bradley Company,Descriptive
Yellow,4,DJ On The Local Radio Station,1988 Milton Bradley Company,Descriptive
Yellow,5,Computer Genius,1988 Milton Bradley Company,Descriptive
Yellow,6,Tuba Player In the Band,1988 Milton Bradley Company,Descriptive
Yellow,7,"Nicknamed ""Lumpy""",1988 Milton Bradley Company,Descriptive
Yellow,8,"Nicknamed ""Golden Boy""",1988 Milton Bradley Company,Descriptive
Yellow,9,"Voted ""Best Dressed""",1988 Milton Bradley Company,Descriptive
Yellow,10,Couch Potato,1988 Milton Bradley Company,Descriptive
Yellow,11,Junk Food Junkie,1988 Milton Bradley Company,Descriptive
Yellow,12,Editor Of The School Paper,1988 Milton Bradley Company,Descriptive
Yellow,13,"Nicknamed ""Grizzly Bear""",1988 Milton Bradley Company,Descriptive
Yellow,14,"Nicknamed ""Motor Mouth""",1988 Milton Bradley Company,Descriptive
Yellow,15,"Nicknamed ""Einstein""",1988 Milton Bradley Company,Descriptive
Yellow,16,"Voted ""Class Clown""",1988 Milton Bradley Company,Descriptive
Yellow,17,Class President,1988 Milton Bradley Company,Descriptive
Yellow,18,Captain Of The Football Team,1988 Milton Bradley Company,Descriptive
Yellow,19,Honor Student,1988 Milton Bradley Company,Descriptive
Yellow,20,Party Animal,1988 Milton Bradley Company,Descriptive
Yellow,21,School Bully,1988 Milton Bradley Company,Descriptive
Yellow,22,"Nicknamed ""Loverboy""",1988 Milton Bradley Company,Descriptive
Yellow,23,Beach Boy,1988 Milton Bradley Company,Descriptive
Yellow,24,"Nicknamed ""The Hulk""",1988 Milton Bradley Company,Descriptive
Yellow,25,Captain Of The Debating Team,1988 Milton Bradley Company,Descriptive
Yellow,26,"Nicknamed ""Wise Guy""",1988 Milton Bradley Company,Descriptive
Yellow,27,Class Hunk,1988 Milton Bradley Company,Descriptive
Yellow,28,"Nicknamed ""Gearhead""",1988 Milton Bradley Company,Descriptive
Yellow,29,"Nicknamed ""Muffin""",1989 Milton Bradley Company,Descriptive
Yellow,30,Passionate Kisser,1990 Milton Bradley Company,Descriptive
Yellow,31,"Nicknamed ""Tiger""",1991 Milton Bradley Company,Descriptive
Yellow,32,"Nicknamed ""The Lone Wolf""",1992 Milton Bradley Company,Descriptive
Yellow,33,Teenage Millionaire,1993 Milton Bradley Company,Descriptive
Yellow,34,Captain Of The Chess Club,1994 Milton Bradley Company,Descriptive
Yellow,35,Lead Singer In The Chorus,1995 Milton Bradley Company,Descriptive
Yellow,36,Foreign Exchange Student,1996 Milton Bradley Company,Descriptive
Green,1,Plans To Study Acupuncture In The Orient,1988 Milton Bradley Company,Aspirations
Green,2,Wants To Wrestle Alligators In Florida,1988 Milton Bradley Company,Aspirations
Green,3,Can't Wait To Get Married And Have A Whole Bunch Of Kids,1988 Milton Bradley Company,Aspirations
Green,4,"Wants To Win The Oscar For ""Best Actor""",1988 Milton Bradley Company,Aspirations
Green,5,Would Like To Be A Painter In Europe,1988 Milton Bradley Company,Aspirations
Green,6,Wants To Become A Tennis Pro,1988 Milton Bradley Company,Aspirations
Green,7,Dreams Of Moving To L.A. To Become A Rock Star,1988 Milton Bradley Company,Aspirations
Green,8,Wants To Dog Sled Across The Arctic,1988 Milton Bradley Company,Aspirations
Green,9,Just Hopes To Graduate From High School Before The Age of 20,1988 Milton Bradley Company,Aspirations
Green,10,Wishes He Could Join The Marines Today,1988 Milton Bradley Company,Aspirations
Green,11,Plans To Skateboard Across The U.S.,1988 Milton Bradley Company,Aspirations
Green,12,Training To Be An Olympic Gymnast,1988 Milton Bradley Company,Aspirations
Green,13,Training To Be A Master Chef,1988 Milton Bradley Company,Aspirations
Green,14,Wants To Be A Secret Agent,1988 Milton Bradley Company,Aspirations
Green,15,Plans To Develop A Cure For Acne,1988 Milton Bradley Company,Aspirations
Green,16,Wants To Live Off The Land In The Wilderness,1988 Milton Bradley Company,Aspirations
Green,17,Wants To Be A Hairstylist,1988 Milton Bradley Company,Aspirations
